Time,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"130,000","150,000","168,000","180,000","160,000","157,461",490,
1990 February,"95,000","140,000","150,000","175,000","150,000","145,924",369,
1990 March,"120,000","150,000","170,000","185,000","160,000","153,323",461,
1990 April,"110,000","145,000","170,000","190,000","150,000","158,684",665,
1990 May,"110,000","160,000","180,000","195,000","170,000","169,382",580,
1990 June,"140,000","170,000","180,000","200,000","175,000","175,382",670,
1990 July,"150,000","170,000","185,000","208,000","180,000","180,155",626,
1990 August,"150,000","170,000","185,000","200,000","180,000","179,596",550,
1990 September,"150,000","180,000","195,000","220,000","185,000","188,361",516,
1990 October,"140,000","165,000","185,000","221,000","170,000","179,454",432,
1990 November,"150,000","170,000","190,000","210,000","180,000","182,005",316,
1990 December,"140,000","165,000","190,000","225,000","175,000","182,992",352,
1991 January,"135,000","160,000","185,000","210,000","170,000","173,909",301,
1991 February,"140,000","170,000","190,000","220,000","180,000","181,057",324,
1991 March,"140,000","170,000","186,000","210,000","180,000","179,387",241,
1991 April,"150,000","165,000","180,000","200,000","170,000","175,580",246,
1991 May,"115,000","160,000","185,000","200,000","180,000","170,433",226,
1991 June,"145,000","165,000","180,000","200,000","170,000","175,020",244,
1991 July,"140,000","160,000","180,000","196,000","170,000","172,624",353,
1991 August,"150,000","160,000","180,000","200,000","170,000","175,438",344,
1991 September,"145,000","165,000","185,000","203,000","170,000","173,795",384,
1991 October,"140,000","155,000","180,000","200,000","165,000","170,480",311,
1991 November,"130,000","160,000","180,000","210,000","170,000","173,097",354,
1991 December,"130,000","155,000","175,000","205,000","160,000","168,481",288,
1992 January,"140,000","160,000","180,000","210,000","170,000","173,957",248,
1992 February,"130,000","150,000","170,000","190,000","160,000","162,831",306,
1992 March,"129,000","150,000","175,000","190,000","165,000","163,369",352,
1992 April,"140,000","155,000","170,000","190,000","160,000","169,290",370,
1992 May,"130,000","155,000","175,000","195,000","165,000","166,795",480,
1992 June,"130,000","150,000","175,000","200,000","160,000","167,121",533,
1992 July,"135,000","160,000","180,000","200,000","170,000","173,068",626,
1992 August,"135,000","160,000","180,000","210,000","170,000","178,605",532,
1992 September,"140,000","160,000","180,000","200,000","170,000","175,072",556,
1992 October,"135,000","155,000","180,000","210,000","170,000","175,289",442,
1992 November,"130,000","160,000","180,000","210,000","170,000","177,652",394,
1992 December,"135,000","160,000","180,000","211,000","170,000","177,067",415,
1993 January,"130,000","160,000","180,000","211,000","170,000","177,107",301,
1993 February,"125,000","150,000","175,000","200,000","160,000","170,140",347,
1993 March,"135,000","150,000","170,000","210,000","160,000","169,812",288,
1993 April,"135,000","160,000","180,000","210,000","170,000","177,143",411,
1993 May,"130,000","155,000","180,000","210,000","165,000","180,161",345,
1993 June,"130,000","150,000","170,000","200,000","160,000","169,092",406,
1993 July,"135,000","155,000","175,000","213,000","165,000","176,531",543,
1993 August,"125,000","155,000","175,000","205,000","165,000","173,609",369,
1993 September,"130,000","155,000","175,000","210,000","165,000","175,075",450,
1993 October,"125,000","150,000","170,000","205,000","160,000","174,611",435,
1993 November,"138,000","150,000","175,000","200,000","160,000","172,815",367,
1993 December,"135,000","155,000","175,000","200,000","165,000","175,414",370,
1994 January,"125,000","150,000","165,000","195,000","160,000","171,753",338,
1994 February,"120,000","150,000","170,000","192,000","160,000","168,288",269,
1994 March,"128,000","150,000","170,000","200,000","155,000","172,005",276,
1994 April,"120,000","150,000","168,000","199,000","160,000","167,020",501,
1994 May,"129,000","150,000","175,000","205,000","160,000","173,386",444,
1994 June,"130,000","150,000","170,000","200,000","160,000","174,078",504,
1994 July,"135,000","155,000","170,000","205,000","160,000","174,619",612,
1994 August,"130,000","150,000","169,000","195,000","160,000","169,055",454,
1994 September,"140,000","160,000","180,000","210,000","165,000","181,831",534,
1994 October,"140,000","155,000","179,000","205,000","165,000","177,465",330,
1994 November,"140,000","160,000","185,000","225,000","170,000","188,112",355,
1994 December,"140,000","160,000","175,000","210,000","170,000","177,711",294,
1995 January,"135,000","160,000","185,000","230,000","170,000","188,092",201,
1995 February,"132,000","155,000","175,000","210,000","165,000","179,017",245,
1995 March,"130,000","155,000","175,000","210,000","160,000","180,017",208,
1995 April,"130,000","150,000","170,000","210,000","160,000","178,263",265,
1995 May,"130,000","150,000","175,000","210,000","160,000","173,032",272,
1995 June,"130,000","155,000","175,000","220,000","165,000","180,807",384,
1995 July,"120,000","150,000","170,000","200,000","160,000","170,210",423,
1995 August,"139,000","160,000","175,000","200,000","165,000","176,597",383,
1995 September,"125,000","155,000","180,000","214,000","165,000","178,434",471,
1995 October,"130,000","155,000","170,000","195,000","160,000","172,105",314,
1995 November,"125,000","145,000","160,000","195,000","150,000","165,101",349,
1995 December,"120,000","150,000","165,000","210,000","155,000","173,120",338,
1996 January,"130,000","155,000","165,000","195,000","160,000","171,088",296,
1996 February,"118,000","145,000","165,000","185,000","155,000","161,641",231,
1996 March,"120,000","147,000","165,000","190,000","155,000","162,686",260,
1996 April,"120,000","140,000","160,000","190,000","155,000","168,507",308,
1996 May,"130,000","150,000","170,000","195,000","160,000","170,126",362,
1996 June,"125,000","150,000","165,000","195,000","155,000","170,704",503,
1996 July,"125,000","150,000","165,000","195,000","155,000","172,690",567,
1996 August,"135,000","155,000","170,000","195,000","160,000","170,222",527,
1996 September,"130,000","155,000","175,000","205,000","160,000","176,574",524,
1996 October,"135,000","155,000","175,000","210,000","165,000","180,269",498,
1996 November,"127,000","150,000","170,000","195,000","155,000","170,886",486,
1996 December,"120,000","145,000","165,000","186,000","155,000","163,521",411,
1997 January,"125,000","150,000","170,000","200,000","160,000","171,296",337,
1997 February,"120,000","145,000","165,000","200,000","155,000","168,664",377,
1997 March,"125,000","150,000","165,000","200,000","160,000","172,138",370,
1997 April,"120,000","140,000","160,000","185,000","150,000","162,893",438,
1997 May,"125,000","145,000","160,000","190,000","155,000","166,840",648,
1997 June,"130,000","150,000","170,000","195,000","160,000","170,494",588,
1997 July,"130,000","150,000","170,000","200,000","160,000","172,097",759,
1997 August,"137,000","159,000","170,000","200,000","165,000","177,691",768,
1997 September,"140,000","155,000","175,000","210,000","165,000","180,986",673,
1997 October,"140,000","160,000","175,000","210,000","170,000","181,442",671,
1997 November,"130,000","155,000","175,000","207,000","165,000","180,242",593,
1997 December,"139,000","160,000","180,000","210,000","170,000","185,746",630,
1998 January,"140,000","160,000","175,000","215,000","165,000","183,296",531,
1998 February,"140,000","155,000","170,000","195,000","165,000","173,523",490,
1998 March,"140,000","160,000","175,000","205,000","165,000","178,404",546,
1998 April,"135,000","155,000","175,000","210,000","165,000","181,998",548,
1998 May,"135,000","155,000","175,000","205,000","165,000","177,354",756,
1998 June,"140,000","160,000","175,000","205,000","165,000","181,701",683,
1998 July,"140,000","165,000","180,000","220,000","170,000","187,841",825,
1998 August,"140,000","165,000","180,000","215,000","170,000","185,310",853,
1998 September,"145,000","170,000","190,000","220,000","180,000","192,949",800,
1998 October,"148,000","170,000","190,000","230,000","180,000","200,105",781,
1998 November,"145,000","165,000","185,000","215,000","175,000","191,089",684,
1998 December,"145,000","167,000","190,000","220,000","180,000","192,035",721,
1999 January,"150,000","170,000","195,000","235,000","185,000","198,577",451,
1999 February,"150,000","170,000","190,000","225,000","180,000","196,262",466,
1999 March,"150,000","170,000","190,000","230,000","180,000","198,125",452,
1999 April,"155,000","175,000","195,000","240,000","185,000","202,186",597,
1999 May,"155,000","175,000","194,000","245,000","180,000","202,849",426,
1999 June,"150,000","175,000","190,000","235,000","180,000","199,790",464,
1999 July,"150,000","175,000","195,000","235,000","185,000","203,138",595,
1999 August,"150,000","170,000","190,000","235,000","180,000","200,963",645,
1999 September,"150,000","175,000","195,000","240,000","185,000","203,783",473,
1999 October,"155,000","175,000","195,000","240,000","185,000","205,462",605,
1999 November,"150,000","175,000","200,000","250,000","185,000","206,655",515,
1999 December,"160,000","185,000","206,000","260,000","192,500","211,320",477,
2000 January,"155,000","180,000","200,000","250,000","190,000","208,225",425,
2000 February,"150,000","180,000","200,000","250,000","190,000","209,714",336,
2000 March,"146,000","170,000","190,000","245,000","180,000","201,377",417,
2000 April,"150,000","170,000","195,000","235,000","185,000","199,202",478,
2000 May,"150,000","180,000","200,000","245,000","185,000","203,357",514,
2000 June,"155,000","180,000","205,000","250,000","190,000","207,773",546,
2000 July,"155,000","180,000","210,000","270,000","195,000","214,716",671,
