Time,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,480,10,16,0,506,
Feb 1990,364,5,7,0,376,
Mar 1990,439,22,77,0,538,
Apr 1990,607,58,11,4,680,
May 1990,551,29,58,0,638,
Jun 1990,468,202,29,6,705,
Jul 1990,606,20,30,8,664,
Aug 1990,527,23,15,0,565,
Sep 1990,514,2,8,0,524,
Oct 1990,418,14,17,0,449,
Nov 1990,307,9,11,0,327,
Dec 1990,343,9,0,0,352,
Jan 1991,296,5,7,0,308,
Feb 1991,319,5,3,0,327,
Mar 1991,226,15,9,0,250,
Apr 1991,241,5,28,46,320,
May 1991,222,4,38,2,266,
Jun 1991,237,7,9,38,291,
Jul 1991,343,10,10,28,391,
Aug 1991,331,13,6,0,350,
Sep 1991,371,13,4,150,538,
Oct 1991,291,20,15,28,354,
Nov 1991,339,15,0,35,389,
Dec 1991,281,7,61,14,363,
Jan 1992,232,16,26,0,274,
Feb 1992,302,4,17,1,324,
Mar 1992,323,29,53,3,408,
Apr 1992,334,36,18,0,388,
May 1992,468,12,18,1,499,
Jun 1992,516,17,57,13,603,
Jul 1992,597,29,36,3,665,
Aug 1992,507,25,16,3,551,
Sep 1992,534,22,21,1,578,
Oct 1992,415,27,28,0,470,
Nov 1992,384,10,31,2,427,
Dec 1992,388,27,32,16,463,
Jan 1993,273,28,18,2,321,
Feb 1993,330,17,9,3,359,
Mar 1993,270,18,4,0,292,
Apr 1993,391,20,18,0,429,
May 1993,329,16,49,13,407,
Jun 1993,375,31,68,7,481,
Jul 1993,521,22,63,3,609,
Aug 1993,327,42,46,1,416,
Sep 1993,426,24,74,3,527,
Oct 1993,408,27,90,10,535,
Nov 1993,332,35,42,2,411,
Dec 1993,355,15,64,4,438,
Jan 1994,320,18,35,29,402,
Feb 1994,257,12,42,8,319,
Mar 1994,267,9,29,1,306,
Apr 1994,475,26,102,5,608,
May 1994,423,21,59,14,517,
Jun 1994,460,44,112,0,616,
Jul 1994,577,35,72,13,697,
Aug 1994,437,17,25,5,484,
Sep 1994,507,27,49,2,585,
Oct 1994,317,13,57,5,392,
Nov 1994,328,27,69,27,451,
Dec 1994,281,13,20,9,323,
Jan 1995,182,19,35,3,239,
